productId,productName,productCost,productBrand,productCategory,productColor,productMaterial,productImage,productAvailability,productLaunchDate,productSummary
1,Generic Metal Bacon,562.00,Sausages,Industrial,fuchsia,Frozen,http://lorempixel.com/640/480/animals,Oman,2020-12-23T15:23:32.575Z,"overriding the hard drive won't do anything, we need to program the optical THX pixel!"
2,Handmade Frozen Hat,486.00,Mouse,Garden,cyan,Concrete,http://lorempixel.com/640/480/sports,China,2020-03-20T15:34:58.031Z,"Use the online SMTP matrix, then you can generate the cross-platform array!"
3,Sleek Fresh Bike,775.00,Mouse,Movies,black,Granite,http://lorempixel.com/640/480/food,Cuba,2021-01-18T03:33:59.736Z,"The HDD driver is down, index the mobile sensor so we can navigate the SMS card!"
4,Awesome Fresh Towels,221.00,Towels,Electronics,salmon,Concrete,http://lorempixel.com/640/480/city,Malaysia,2020-10-20T04:21:25.740Z,"Try to transmit the THX protocol, maybe it will index the virtual circuit!"
5,Tasty Cotton Pizza,190.00,Table,Clothing,mint green,Steel,http://lorempixel.com/640/480/transport,Guernsey,2020-12-15T13:39:15.188Z,"If we quantify the pixel, we can get to the HTTP protocol through the redundant TCP monitor!"
6,Fantastic Granite Tuna,599.00,Keyboard,Electronics,azure,Granite,http://lorempixel.com/640/480/technics,Germany,2020-10-26T14:32:53.588Z,We need to copy the open-source XSS monitor!
7,Unbranded Concrete Chair,569.00,Mouse,Books,olive,Frozen,http://lorempixel.com/640/480/nightlife,Nepal,2020-08-25T19:54:50.022Z,"The SAS interface is down, override the digital capacitor so we can generate the EXE feed!"
8,Licensed Fresh Hat,542.00,Gloves,Outdoors,gold,Cotton,http://lorempixel.com/640/480/animals,Vietnam,2020-12-04T06:29:55.446Z,"Use the optical XSS capacitor, then you can reboot the neural pixel!"
9,Tasty Fresh Ball,501.00,Salad,Baby,magenta,Wooden,http://lorempixel.com/640/480/sports,Kiribati,2020-07-18T00:30:26.835Z,"The THX protocol is down, connect the cross-platform card so we can copy the THX driver!"
10,Generic Granite Gloves,491.00,Soap,Garden,plum,Wooden,http://lorempixel.com/640/480/nature,Nigeria,2020-10-16T06:49:43.345Z,"Try to navigate the SSL circuit, maybe it will override the open-source capacitor!"
11,Intelligent Plastic Ball,113.00,Tuna,Baby,mint green,Metal,http://lorempixel.com/640/480/nightlife,Palau,2020-05-27T08:59:25.208Z,"hacking the sensor won't do anything, we need to bypass the open-source SSL microchip!"
12,Fantastic Wooden Shirt,855.00,Pizza,Automotive,red,Rubber,http://lorempixel.com/640/480/cats,Papua New Guinea,2020-06-16T05:36:26.139Z,"If we parse the feed, we can get to the SAS array through the open-source XML firewall!"
13,Small Rubber Keyboard,484.00,Bike,Computers,indigo,Frozen,http://lorempixel.com/640/480/nightlife,Saint Kitts and Nevis,2020-11-07T14:15:58.720Z,"If we program the interface, we can get to the USB panel through the 1080p SQL system!"
14,Licensed Metal Pizza,599.00,Mouse,Health,olive,Rubber,http://lorempixel.com/640/480/cats,Botswana,2020-05-20T18:18:44.793Z,We need to hack the auxiliary FTP program!
15,Fantastic Fresh Bike,676.00,Computer,Garden,indigo,Fresh,http://lorempixel.com/640/480/food,Ecuador,2020-08-06T03:13:37.174Z,"I'll synthesize the neural HTTP capacitor, that should protocol the PNG interface!"
16,Handmade Cotton Chips,691.00,Ball,Computers,black,Frozen,http://lorempixel.com/640/480/animals,Togo,2020-08-07T23:56:05.722Z,You can't program the bus without bypassing the digital PNG driver!
17,Handmade Plastic Hat,944.00,Shirt,Computers,maroon,Soft,http://lorempixel.com/640/480/abstract,New Caledonia,2020-07-27T07:50:52.197Z,"The IB bus is down, quantify the cross-platform circuit so we can reboot the CSS port!"
18,Licensed Wooden Tuna,489.00,Salad,Baby,orchid,Wooden,http://lorempixel.com/640/480/city,Cape Verde,2020-10-03T10:43:58.500Z,"The COM monitor is down, generate the multi-byte transmitter so we can parse the IB circuit!"
19,Handcrafted Cotton Cheese,735.00,Keyboard,Automotive,green,Wooden,http://lorempixel.com/640/480/fashion,Gabon,2020-07-13T10:04:57.006Z,We need to navigate the haptic THX application!
20,Intelligent Plastic Salad,514.00,Gloves,Health,blue,Granite,http://lorempixel.com/640/480/nature,Slovenia,2021-02-07T08:39:45.753Z,"Use the auxiliary SMS bus, then you can back up the bluetooth array!"
21,Refined Metal Salad,681.00,Salad,Grocery,salmon,Granite,http://lorempixel.com/640/480/transport,Mauritius,2020-05-07T21:12:19.132Z,"The SMS matrix is down, input the digital microchip so we can quantify the FTP bus!"
22,Incredible Granite Pants,319.00,Keyboard,Electronics,turquoise,Fresh,http://lorempixel.com/640/480/nature,Andorra,2020-06-04T07:54:12.071Z,"programming the bus won't do anything, we need to generate the online COM port!"
23,Practical Metal Ball,914.00,Bacon,Beauty,tan,Frozen,http://lorempixel.com/640/480/transport,Malawi,2020-11-08T20:23:45.938Z,"Use the open-source AGP panel, then you can parse the auxiliary firewall!"
24,Handcrafted Frozen Chicken,686.00,Chicken,Movies,orchid,Wooden,http://lorempixel.com/640/480/abstract,Qatar,2021-01-22T05:12:20.394Z,"The SCSI array is down, synthesize the virtual circuit so we can transmit the XSS transmitter!"
25,Ergonomic Frozen Gloves,614.00,Salad,Grocery,pink,Soft,http://lorempixel.com/640/480/transport,Denmark,2020-03-01T22:43:05.969Z,"The SCSI system is down, navigate the multi-byte microchip so we can transmit the RAM interface!"
26,Ergonomic Frozen Gloves,713.00,Chair,Toys,blue,Granite,http://lorempixel.com/640/480/fashion,Russian Federation,2020-06-21T13:03:20.522Z,"The SAS sensor is down, program the primary port so we can quantify the SMS application!"
27,Handcrafted Soft Salad,896.00,Table,Industrial,blue,Granite,http://lorempixel.com/640/480/food,Poland,2020-12-16T22:01:57.753Z,"If we navigate the capacitor, we can get to the ADP monitor through the haptic PNG circuit!"
28,Sleek Granite Soap,556.00,Car,Sports,teal,Steel,http://lorempixel.com/640/480/sports,Democratic People's Republic of Korea,2020-07-29T12:36:28.276Z,"The IB sensor is down, back up the virtual interface so we can program the IB program!"
29,Licensed Soft Salad,440.00,Shoes,Games,turquoise,Metal,http://lorempixel.com/640/480/nightlife,Kazakhstan,2020-10-03T21:44:10.344Z,"programming the card won't do anything, we need to program the virtual JBOD port!"
30,Generic Wooden Ball,720.00,Soap,Music,red,Concrete,http://lorempixel.com/640/480/fashion,Iran,2020-03-16T12:20:55.979Z,"Try to copy the XSS microchip, maybe it will copy the multi-byte system!"
31,Handmade Cotton Ball,631.00,Pants,Music,pink,Soft,http://lorempixel.com/640/480/technics,Ireland,2021-02-10T16:04:36.768Z,We need to program the mobile HDD bus!
32,Ergonomic Plastic Pants,340.00,Chair,Electronics,plum,Fresh,http://lorempixel.com/640/480/nightlife,Moldova,2020-11-04T09:45:47.642Z,"navigating the monitor won't do anything, we need to quantify the primary SDD capacitor!"
33,Small Fresh Chips,717.00,Table,Jewelery,azure,Concrete,http://lorempixel.com/640/480/fashion,Ireland,2021-02-15T18:37:02.312Z,"If we parse the firewall, we can get to the SAS application through the neural HDD application!"
34,Gorgeous Granite Bacon,554.00,Salad,Sports,lavender,Frozen,http://lorempixel.com/640/480/cats,Nauru,2020-06-27T11:25:45.195Z,"The FTP panel is down, connect the optical hard drive so we can input the EXE circuit!"
35,Practical Fresh Bike,828.00,Car,Shoes,blue,Steel,http://lorempixel.com/640/480/business,Northern Mariana Islands,2020-04-10T03:07:02.911Z,"Try to copy the XSS alarm, maybe it will synthesize the online card!"
36,Rustic Cotton Keyboard,815.00,Chicken,Movies,maroon,Plastic,http://lorempixel.com/640/480/business,New Zealand,2020-06-06T01:45:32.368Z,We need to hack the cross-platform EXE port!
37,Sleek Plastic Computer,747.00,Salad,Garden,grey,Frozen,http://lorempixel.com/640/480/transport,Rwanda,2020-06-23T16:47:43.908Z,"I'll index the open-source AI matrix, that should pixel the PCI matrix!"
38,Small Frozen Gloves,945.00,Shoes,Tools,plum,Cotton,http://lorempixel.com/640/480/business,Suriname,2020-04-24T10:54:06.706Z,We need to compress the solid state SAS application!
39,Awesome Concrete Ball,503.00,Chicken,Kids,teal,Rubber,http://lorempixel.com/640/480/animals,Guyana,2021-01-21T08:49:14.081Z,You can't bypass the interface without compressing the redundant AGP feed!
40,Refined Metal Car,882.00,Keyboard,Health,orange,Concrete,http://lorempixel.com/640/480/city,Egypt,2020-09-12T02:37:12.165Z,"Try to quantify the ADP transmitter, maybe it will parse the digital microchip!"
41,Handmade Frozen Tuna,518.00,Tuna,Jewelery,lime,Soft,http://lorempixel.com/640/480/cats,Guadeloupe,2020-03-13T14:20:22.708Z,"Use the bluetooth IB microchip, then you can navigate the 1080p transmitter!"
42,Sleek Plastic Fish,428.00,Bacon,Books,black,Rubber,http://lorempixel.com/640/480/food,Comoros,2020-05-05T16:31:29.130Z,"Try to override the CSS protocol, maybe it will parse the solid state alarm!"
43,Generic Metal Sausages,71.00,Towels,Grocery,salmon,Wooden,http://lorempixel.com/640/480/nightlife,India,2020-05-05T00:29:41.272Z,"Try to index the SMTP bandwidth, maybe it will compress the online matrix!"
44,Tasty Cotton Shoes,40.00,Table,Automotive,teal,Rubber,http://lorempixel.com/640/480/people,Tunisia,2020-11-18T21:08:37.034Z,"I'll index the virtual ADP application, that should alarm the JSON system!"
45,Ergonomic Wooden Chicken,852.00,Shoes,Grocery,tan,Metal,http://lorempixel.com/640/480/technics,Belize,2020-03-12T02:48:38.912Z,"The XSS alarm is down, index the solid state driver so we can parse the PCI program!"
46,Gorgeous Soft Shirt,624.00,Table,Outdoors,indigo,Granite,http://lorempixel.com/640/480/people,Equatorial Guinea,2020-08-09T04:20:32.416Z,"I'll program the back-end USB interface, that should card the IB feed!"
47,Rustic Metal Shirt,940.00,Ball,Baby,orchid,Steel,http://lorempixel.com/640/480/cats,Russian Federation,2020-05-20T08:38:56.145Z,"programming the feed won't do anything, we need to generate the solid state AI program!"
48,Fantastic Soft Shoes,450.00,Ball,Movies,fuchsia,Metal,http://lorempixel.com/640/480/city,Algeria,2020-12-20T01:48:00.923Z,"I'll bypass the primary SSL application, that should protocol the RSS bus!"
49,Awesome Wooden Soap,463.00,Salad,Baby,indigo,Granite,http://lorempixel.com/640/480/cats,French Polynesia,2020-06-04T12:23:03.661Z,"If we calculate the hard drive, we can get to the PNG bus through the redundant RAM transmitter!"
50,Tasty Fresh Mouse,323.00,Fish,Music,salmon,Frozen,http://lorempixel.com/640/480/city,Marshall Islands,2020-04-24T14:00:08.352Z,You can't copy the firewall without calculating the mobile SSL matrix!
